ticker,simulated_date,action_A,conf_A,k_return,correct_A,action_B,conf_B,correct_B,flipped,true_label
AAPL,2021-11-15,BUY,0.6,0.1019999232801898,1,SELL,0.75,0,True,BUY
JNJ,2021-12-27,BUY,0.6,0.02015689614110549,1,HOLD,0.5,1,True,HOLD
AAPL,2022-01-17,BUY,0.65,0.028327661036000873,1,BUY,0.75,1,False,BUY
JNJ,2022-02-28,BUY,0.7,0.04326427214707784,1,HOLD,0.65,0,True,BUY
AAPL,2022-05-23,BUY,0.6,0.039130756519700986,1,SELL,0.5,0,True,BUY
JPM,2022-05-23,BUY,0.65,0.043900647241162855,1,BUY,0.75,1,False,BUY
NVDA,2022-05-23,BUY,0.6,0.12001440105420783,1,SELL,0.5,0,True,BUY
NVDA,2022-07-25,BUY,0.6,0.045171676901987784,1,HOLD,0.7,0,True,BUY
XOM,2022-09-26,BUY,0.65,0.17694681500516302,1,SELL,0.75,0,True,BUY
AAPL,2022-10-17,BUY,0.6,0.07674995430985637,1,SELL,0.65,0,True,BUY
JNJ,2022-10-17,BUY,0.65,0.044300492700361245,1,HOLD,0.65,0,True,BUY
AAPL,2022-11-28,BUY,0.65,0.0018720918882683102,1,HOLD,0.75,1,True,HOLD
NVDA,2022-11-28,BUY,0.65,0.10820040452549702,1,HOLD,0.75,0,True,BUY
XOM,2022-11-28,SELL,0.6,-0.03387651196349964,1,HOLD,0.75,0,True,SELL
JPM,2022-12-19,BUY,0.65,0.04859304224089986,1,HOLD,0.75,0,True,BUY
XOM,2023-01-09,BUY,0.7,0.0492301634563258,1,HOLD,0.75,0,True,BUY
XOM,2023-01-30,BUY,0.6,0.04531924231139608,1,HOLD,0.75,0,True,BUY
AAPL,2023-03-13,BUY,0.6,0.05190413832544218,1,SELL,0.75,0,True,BUY
AAPL,2023-04-24,BUY,0.6,0.04941641360039355,1,HOLD,0.7,0,True,BUY
JNJ,2023-04-24,SELL,0.65,-0.008369976828894983,1,HOLD,0.65,1,True,HOLD
JPM,2023-05-15,BUY,0.65,0.016490388825358575,1,HOLD,0.7,1,True,HOLD
AAPL,2023-06-26,BUY,0.6,0.015167182435475083,1,HOLD,0.7,1,True,HOLD
JPM,2023-06-26,BUY,0.65,0.0664014222252949,1,HOLD,0.75,0,True,BUY
JNJ,2023-07-17,BUY,0.6,0.05318427179204174,1,HOLD,0.75,0,True,BUY
AAPL,2023-10-30,BUY,0.65,0.08663731020498153,1,HOLD,0.5,0,True,BUY
JNJ,2023-10-30,HOLD,0.6,0.004080908802825327,1,HOLD,0.75,1,False,HOLD
JPM,2023-10-30,BUY,0.62,0.060835366302359084,1,SELL,0.75,0,True,BUY
NVDA,2023-12-11,BUY,0.65,0.05687685399579017,1,HOLD,0.8,0,True,BUY
JPM,2024-01-22,BUY,0.6,0.02580677237586142,1,HOLD,0.5,0,True,BUY
